Code,Company,Price,Change,Volume,Value,Captilisation
USM,Smartshares US Mid Cap ETF,$6.840,$0.000 / 0.00%,0,$0.00,"$93,042,776"
USS,Smartshares US Small Cap ETF,$6.267,$0.000 / 0.00%,0,$0.00,"$83,155,012"
USV,Smartshares US Large Value ETF,$4.539,$0.000 / 0.00%,0,$0.00,"$88,093,711"
VCT,Vector Limited (NS),$4.080,$0.000 / 0.00%,0,$0.00,"$4,080,000,000"
VGL,Vista Group International Limited,$1.440,$0.000 / 0.00%,0,$0.00,"$335,796,614"
VHP,Vital Healthcare Property Trust,$2.380,$0.000 / 0.00%,0,$0.00,"$1,565,461,341"
VNT,Ventia Services Group Limited,$2.630,$0.000 / 0.00%,0,$0.00,"$2,249,965,000"
VSL,Vulcan Steel Limited,$9.150,$0.000 / 0.00%,0,$0.00,"$1,202,388,434"
VTL,Vital Limited,$0.280,$0.000 / 0.00%,0,$0.00,"$11,633,529"
WBC,Westpac Banking Corporation,$24.700,$0.000 / 0.00%,0,$0.00,"$86,477,854,042"
WCO,WasteCo Group Limited,$0.075,$0.000 / 0.00%,0,$0.00,"$51,600,000"
WHS,The Warehouse Group Limited,$2.650,$0.000 / 0.00%,0,$0.00,"$919,134,268"
WIN,Winton Land Limited (NS),$1.940,$0.000 / 0.00%,0,$0.00,"$575,430,648"
